Licenses,Regex
EPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](EPL-1\.?0|(.{1,32} (AND|OR)){1,4} EPL-1\.?0)"""
EPL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](EPL-2\.?0|(.{1,32} (AND|OR)){1,4} EPL-2\.?0)"""
ECL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](ECL-1\.?0|(.{1,32} (AND|OR)){1,4} ECL-1\.?0)"""
ECL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](ECL-2\.?0|(.{1,32} (AND|OR)){1,4} ECL-2\.?0)"""
eGenix," ""licen[cs]e(id|[- ]identifier| name)?[: ](eGenix|(.{1,32} (AND|OR)){1,4} eGenix)"""
EFL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](EFL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} EFL[- ]1\.?0)"""
EFL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](EFL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} EFL[- ]2\.?0)"""
Glide," ""licen[cs]e(id|[- ]identifier| name)?[: ](Glide|(.{1,32} (AND|OR)){1,4} Glide)"""
Entessa," ""licen[cs]e(id|[- ]identifier| name)?[: ](Entessa|(.{1,32} (AND|OR)){1,4} Entessa)"""
EPICS," ""licen[cs]e(id|[- ]identifier| name)?[: ](EPICS|(.{1,32} (AND|OR)){1,4} EPICS)"""
ErlPL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](ErlPL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} ErlPL[- ]1\.?1)"""
etalab_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](etalab[- ]2\.?0|(.{1,32} (AND|OR)){1,4} etalab[- ]2\.?0)"""
EUDatagrid," ""licen[cs]e(id|[- ]identifier| name)?[: ](EUDatagrid|(.{1,32} (AND|OR)){1,4} EUDatagrid)"""
EUPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](EUPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} EUPL[- ]1\.?0)"""
EUPL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](EUPL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} EUPL[- ]1\.?1)"""
EUPL_12," ""licen[cs]e(id|[- ]identifier| name)?[: ](EUPL[- ]1\.?2|(.{1,32} (AND|OR)){1,4} EUPL[- ]1\.?2)"""
Eurosym," ""licen[cs]e(id|[- ]identifier| name)?[: ](Eurosym|(.{1,32} (AND|OR)){1,4} Eurosym)"""
Fair," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(Fair[[:space:]|\""]|(.{1,32} (AND|OR)){1,4} Fair[[:space:]|\""])"""
Frameworx_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](Frameworx[- ]1\.?0|(.{1,32} (AND|OR)){1,4} Frameworx[- ]1\.?0)"""
FreeImage," ""licen[cs]e(id|[- ]identifier| name)?[: ](FreeImage|(.{1,32} (AND|OR)){1,4} FreeImage)"""
FTL," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<FTL\>|(.{1,32} (AND|OR)){1,4} \<FTL\>)"""
FSFAP," ""licen[cs]e(id|[- ]identifier| name)?[: ](FSFAP|(.{1,32} (AND|OR)){1,4} FSFAP)"""
FSFUL," ""licen[cs]e(id|[- ]identifier| name)?[: ](FSFUL|(.{1,32} (AND|OR)){1,4} FSFUL)"""
FSFULLR," ""licen[cs]e(id|[- ]identifier| name)?[: ](FSFULLR|(.{1,32} (AND|OR)){1,4} FSFULLR)"""
Giftware," ""licen[cs]e(id|[- ]identifier| name)?[: ](Giftware|(.{1,32} (AND|OR)){1,4} Giftware)"""
GFDL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} GFDL[- ]1\.?1)"""
GFDL_11_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?1.or.later|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?1.or.later)"""
GFDL_11plus," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(GFDL[- v]1\.?1\+|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?1\+)"""
GFDL_11_invariants_only," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?1-invariants-only|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?1-invariants-only)"""
GFDL_11_invariants_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?1-invariants.or.later|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?1-invariants.or.later)"""
GFDL_11_no_invariants_only," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?1-no-invariants-only|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?1-no-invariants-only)"""
GFDL_11_no_invariants_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?1-no-invariants.or.later|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?1-no-invariants.or.later)"""
GFDL_12," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- ]1\.?2|(.{1,32} (AND|OR)){1,4} GFDL[- ]1\.?2)"""
GFDL_12_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?2.or.later|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?2.or.later)"""
GFDL_12plus," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(GFDL[- v]1\.?2\+|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?2\+)"""
GFDL_12_invariants_only," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?2-invariants-only|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?2-invariants-only)"""
GFDL_12_invariants_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?2-invariants.or.later|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?2-invariants.or.later)"""
GFDL_12_no_invariants_only," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?2-no-invariants-only|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?2-no-invariants-only)"""
GFDL_12_no_invariants_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?2-no-invariants.or.later|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?2-no-invariants.or.later)"""
GFDL_13," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- ]1\.?3|(.{1,32} (AND|OR)){1,4} GFDL[- ]1\.?3)"""
GFDL_13_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?3.or.later|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?3.or.later)"""
GFDL_13plus," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(GFDL[- v]1\.?3\+|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?3\+)"""
GFDL_13_invariants_only," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?3-invariants-only|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?3-invariants-only)"""
GFDL_13_invariants_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?3-invariants.or.later|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?3-invariants.or.later)"""
GFDL_13_no_invariants_only," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?3-no-invariants-only|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?3-no-invariants-only)"""
GFDL_13_no_invariants_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- v]1\.?3-no-invariants.or.later|(.{1,32} (AND|OR)){1,4} GFDL[- v]1\.?3-no-invariants.or.later)"""
GL2PS," ""licen[cs]e(id|[- ]identifier| name)?[: ](GL2PS|(.{1,32} (AND|OR)){1,4} GL2PS)"""
Glulxe," ""licen[cs]e(id|[- ]identifier| name)?[: ](Glulxe|(.{1,32} (AND|OR)){1,4} Glulxe)"""
GLWTPL," ""licen[cs]e(id|[- ]identifier| name)?[: ](GLWTPL|(.{1,32} (AND|OR)){1,4} GLWTPL)"""
GPL_10," ""licen[cs]e(id|[- ]identifier)?[: \[\(]+(GPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} GPL[- ]1\.?0)"""
GPL_10plus," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(GPL[- ]1\.?0\+|(.{1,32} (AND|OR)){1,4} GPL[- ]1\.?0\+)"""
GPL_20," ""licen[cs]e(id|[- ]identifier)?[: \[\(]+(GPL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} GPL[- ]2\.?0)"""
GPL_20_or_later," ""licen[cs]e(id|[- ]identifier)?[: \[\(]+(GPL[- ]2\.?0-or-later|(.{1,32} (AND|OR)){1,4} GPL[- ]2\.?0-or-later)"""
GPL_30," ""licen[cs]e(id|[- ]identifier)?[: \[\(]+GPL[- ]3\.?0)"""
GPL_30plus," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(GPL[- ]3\.?0\+|(.{1,32} (AND|OR)){1,4} GPL[- ]3\.?0\+)"""
LGPL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](LGPL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} LGPL[- ]2\.?0)"""
LGPL_21," ""licen[cs]e(id|[- ]identifier| name)?[: ](LGPL[- ]2\.?1|(.{1,32} (AND|OR)){1,4} LGPL[- ]2\.?1)"""
LGPL_30," ""licen[cs]e(id|[- ]identifier| name)?[: ](LGPL[- ]3\.?0|(.{1,32} (AND|OR)){1,4} LGPL[- ]3\.?0)"""
LGPL_30plus," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(LGPL[- ]3\.?0\+|(.{1,32} (AND|OR)){1,4} LGPL[- ]3\.?0\+)"""
gnuplot," ""licen[cs]e(id|[- ]identifier| name)?[: ](gnuplot|(.{1,32} (AND|OR)){1,4} gnuplot)"""
gSOAP_13b," ""licen[cs]e(id|[- ]identifier| name)?[: ](gSOAP[- ]1\.?3b|(.{1,32} (AND|OR)){1,4} gSOAP[- ]1\.?3b)"""
HaskellReport," ""licen[cs]e(id|[- ]identifier| name)?[: ](HaskellReport|(.{1,32} (AND|OR)){1,4} HaskellReport)"""
Hippocratic_21," ""licen[cs]e(id|[- ]identifier| name)?[: ](Hippocratic[- ]2\.?1|(.{1,32} (AND|OR)){1,4} Hippocratic[- ]2\.?1)"""
HPND," ""licen[cs]e(id|[- ]identifier| name)?[: ](HPND|(.{1,32} (AND|OR)){1,4} HPND)"""
HPND_sell_variant," ""licen[cs]e(id|[- ]identifier| name)?[: ](HPND-sell-variant|(.{1,32} (AND|OR)){1,4} HPND-sell-variant)"""
IBM_pibs," ""licen[cs]e(id|[- ]identifier| name)?[: ](IBM-pibs|(.{1,32} (AND|OR)){1,4} IBM-pibs)"""
IPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](IPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} IPL[- ]1\.?0)"""
ICU," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<ICU\>|(.{1,32} (AND|OR)){1,4} \<ICU\>)"""
ImageMagick," ""licen[cs]e(id|[- ]identifier| name)?[: ](ImageMagick|(.{1,32} (AND|OR)){1,4} ImageMagick)"""
iMatix," ""licen[cs]e(id|[- ]identifier| name)?[: ](iMatix|(.{1,32} (AND|OR)){1,4} iMatix)"""
Imlib2," ""licen[cs]e(id|[- ]identifier| name)?[: ](Imlib2|(.{1,32} (AND|OR)){1,4} Imlib2)"""
IJG," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<IJG\>|(.{1,32} (AND|OR)){1,4} \<IJG\>)"""
Info_ZIP," ""licen[cs]e(id|[- ]identifier| name)?[: ](Info-ZIP|(.{1,32} (AND|OR)){1,4} Info-ZIP)"""
Intel_ACPI," ""licen[cs]e(id|[- ]identifier| name)?[: ](Intel-ACPI|(.{1,32} (AND|OR)){1,4} Intel-ACPI)"""
Intel," ""licen[cs]e(id|[- ]identifier| name)?[: ](Intel|(.{1,32} (AND|OR)){1,4} Intel)"""
Interbase_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](Interbase[- ]1\.?0|(.{1,32} (AND|OR)){1,4} Interbase[- ]1\.?0)"""
IPA," ""licen[cs]e(id|[- ]identifier| name)?[: ](IPA|(.{1,32} (AND|OR)){1,4} IPA)"""
ISC," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<ISC\>|(.{1,32} (AND|OR)){1,4} \<ISC\>)"""
JasPer_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](JasPer[- ]2\.?0|(.{1,32} (AND|OR)){1,4} JasPer[- ]2\.?0)"""
JPNIC," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<JPNIC\>|(.{1,32} (AND|OR)){1,4} \<JPNIC\>)"""
JSON," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<JSON\>|(.{1,32} (AND|OR)){1,4} \<JSON\>)"""
LPPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](LPPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} LPPL[- ]1\.?0)"""
LPPL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](LPPL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} LPPL[- ]1\.?1)"""
LPPL_12," ""licen[cs]e(id|[- ]identifier| name)?[: ](LPPL[- ]1\.?2|(.{1,32} (AND|OR)){1,4} LPPL[- ]1\.?2)"""
LPPL_13a," ""licen[cs]e(id|[- ]identifier| name)?[: ](LPPL[- ]1\.?3a|(.{1,32} (AND|OR)){1,4} LPPL[- ]1\.?3a)"""
LPPL_13c," ""licen[cs]e(id|[- ]identifier| name)?[: ](LPPL[- ]1\.?3c|(.{1,32} (AND|OR)){1,4} LPPL[- ]1\.?3c)"""
Latex2e," ""licen[cs]e(id|[- ]identifier| name)?[: ](Latex2e|(.{1,32} (AND|OR)){1,4} Latex2e)"""
BSD_3_Clause_LBNL," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-3-Clause-LBNL|(.{1,32} (AND|OR)){1,4} BSD-3-Clause-LBNL)"""
Leptonica," ""licen[cs]e(id|[- ]identifier| name)?[: ](Leptonica|(.{1,32} (AND|OR)){1,4} Leptonica)"""
LGPLLR," ""licen[cs]e(id|[- ]identifier| name)?[: ](LGPLLR|(.{1,32} (AND|OR)){1,4} LGPLLR)"""
Libpng," ""licen[cs]e(id|[- ]identifier| name)?[: ](Libpng|(.{1,32} (AND|OR)){1,4} Libpng)"""
libpng_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](libpng[- ]2\.?0|(.{1,32} (AND|OR)){1,4} libpng[- ]2\.?0)"""
libselinux_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](libselinux[- ]1\.?0|(.{1,32} (AND|OR)){1,4} libselinux[- ]1\.?0)"""
libtiff," ""licen[cs]e(id|[- ]identifier| name)?[: ](libtiff|(.{1,32} (AND|OR)){1,4} libtiff)"""
LAL_12," ""licen[cs]e(id|[- ]identifier| name)?[: ](LAL[- ]1\.?2|(.{1,32} (AND|OR)){1,4} LAL[- ]1\.?2)"""
LAL_13," ""licen[cs]e(id|[- ]identifier| name)?[: ](LAL[- ]1\.?3|(.{1,32} (AND|OR)){1,4} LAL[- ]1\.?3)"""
LiLiQ_P_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](LiLiQ-P-1\.?1|(.{1,32} (AND|OR)){1,4} LiLiQ-P-1\.?1)"""
LiLiQ_Rplus_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](LiLiQ-Rplus-1\.?1|(.{1,32} (AND|OR)){1,4} LiLiQ-Rplus-1\.?1)"""
LiLiQ_R_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](LiLiQ-R-1\.?1|(.{1,32} (AND|OR)){1,4} LiLiQ-R-1\.?1)"""
LPL_102," ""licen[cs]e(id|[- ]identifier| name)?[: ](LPL-1\.?02|(.{1,32} (AND|OR)){1,4} LPL-1\.?02)"""
Linux_OpenIB," ""licen[cs]e(id|[- ]identifier| name)?[: ](Linux-OpenIB|(.{1,32} (AND|OR)){1,4} Linux-OpenIB)"""
LPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](LPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} LPL[- ]1\.?0)"""
MakeIndex," ""licen[cs]e(id|[- ]identifier| name)?[: ](MakeIndex|(.{1,32} (AND|OR)){1,4} MakeIndex)"""
MIT," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<MIT\>|(.{1,32} (AND|OR)){1,4} \<MIT\>)"""
MIT_0," ""licen[cs]e(id|[- ]identifier| name)?[: ](MIT-0|(.{1,32} (AND|OR)){1,4} MIT-0)"""
MIT_advertising," ""licen[cs]e(id|[- ]identifier| name)?[: ](MIT-advertising|(.{1,32} (AND|OR)){1,4} MIT-advertising)"""
MIT_enna," ""licen[cs]e(id|[- ]identifier| name)?[: ](MIT-enna|(.{1,32} (AND|OR)){1,4} MIT-enna)"""
MIT_feh," ""licen[cs]e(id|[- ]identifier| name)?[: ](MIT-feh|(.{1,32} (AND|OR)){1,4} MIT-feh)"""
MITNFA," ""licen[cs]e(id|[- ]identifier| name)?[: ](MITNFA|(.{1,32} (AND|OR)){1,4} MITNFA)"""
MirOS," ""licen[cs]e(id|[- ]identifier| name)?[: ](MirOS|(.{1,32} (AND|OR)){1,4} MirOS)"""
Motosoto," ""licen[cs]e(id|[- ]identifier| name)?[: ](Motosoto|(.{1,32} (AND|OR)){1,4} Motosoto)"""
mpich2," ""licen[cs]e(id|[- ]identifier| name)?[: ](mpich2|(.{1,32} (AND|OR)){1,4} mpich2)"""
MPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](MPL-1\.?0|(.{1,32} (AND|OR)){1,4} MPL-1\.?0)"""
MPL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](MPL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} MPL[- ]1\.?1)"""
MPL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](MPL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} MPL[- ]2\.?0)"""
MPL_20_no_copyleft_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ](MPL-2\.?0-no-copyleft-exception|(.{1,32} (AND|OR)){1,4} MPL-2\.?0-no-copyleft-exception)"""
MS_PL," ""licen[cs]e(id|[- ]identifier| name)?[: ](MS-PL|(.{1,32} (AND|OR)){1,4} MS-PL)"""
MS_RL," ""licen[cs]e(id|[- ]identifier| name)?[: ](MS-RL|(.{1,32} (AND|OR)){1,4} MS-RL)"""
MTLL," ""licen[cs]e(id|[- ]identifier| name)?[: ](MTLL|(.{1,32} (AND|OR)){1,4} MTLL)"""
MulanPSL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](MulanPSL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} MulanPSL[- ]1\.?0)"""
MulanPSL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](MulanPSL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} MulanPSL[- ]2\.?0)"""
Multics," ""licen[cs]e(id|[- ]identifier| name)?[: ](Multics|(.{1,32} (AND|OR)){1,4} Multics)"""
Mup," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<Mup\>|(.{1,32} (AND|OR)){1,4} \<Mup\>)"""
NASA_13," ""licen[cs]e(id|[- ]identifier| name)?[: ](NASA[- ]1\.?3|(.{1,32} (AND|OR)){1,4} NASA[- ]1\.?3)"""
Naumen," ""licen[cs]e(id|[- ]identifier| name)?[: ](Naumen|(.{1,32} (AND|OR)){1,4} Naumen)"""
NBPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](NBPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} NBPL[- ]1\.?0)"""
NCGL_UK_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](NCGL-UK[- ]2\.?0|(.{1,32} (AND|OR)){1,4} NCGL-UK[- ]2\.?0)"""
NCSA," ""licen[cs]e(id|[- ]identifier| name)?[: ](NCSA|(.{1,32} (AND|OR)){1,4} NCSA)"""
Net_SNMP," ""licen[cs]e(id|[- ]identifier| name)?[: ](Net-SNMP|(.{1,32} (AND|OR)){1,4} Net-SNMP)"""
NetCDF," ""licen[cs]e(id|[- ]identifier| name)?[: ](NetCDF|(.{1,32} (AND|OR)){1,4} NetCDF)"""
Newsletr," ""licen[cs]e(id|[- ]identifier| name)?[: ](Newsletr|(.{1,32} (AND|OR)){1,4} Newsletr)"""
NGPL," ""licen[cs]e(id|[- ]identifier| name)?[: ](NGPL|(.{1,32} (AND|OR)){1,4} NGPL)"""
NIST_PD," ""licen[cs]e(id|[- ]identifier| name)?[: ](NIST-PD|(.{1,32} (AND|OR)){1,4} NIST-PD)"""
NIST_PD_fallback," ""licen[cs]e(id|[- ]identifier| name)?[: ](NIST-PD-fallback|(.{1,32} (AND|OR)){1,4} NIST-PD-fallback)"""
NLOD_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](NLOD[- ]1\.?0|(.{1,32} (AND|OR)){1,4} NLOD[- ]1\.?0)"""
NLPL," ""licen[cs]e(id|[- ]identifier| name)?[: ](NLPL|(.{1,32} (AND|OR)){1,4} NLPL)"""
Nokia," ""licen[cs]e(id|[- ]identifier| name)?[: ](Nokia|(.{1,32} (AND|OR)){1,4} Nokia)"""
NOSL," ""licen[cs]e(id|[- ]identifier| name)?[: ](NOSL|(.{1,32} (AND|OR)){1,4} NOSL)"""
Noweb," ""licen[cs]e(id|[- ]identifier| name)?[: ](Noweb|(.{1,32} (AND|OR)){1,4} Noweb)"""
NPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](NPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} NPL[- ]1\.?0)"""
NPL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](NPL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} NPL[- ]1\.?1)"""
NPOSL_30," ""licen[cs]e(id|[- ]identifier| name)?[: ](NPOSL[- ]3\.?0|(.{1,32} (AND|OR)){1,4} NPOSL[- ]3\.?0)"""
NRL," ""licen[cs]e(id|[- ]identifier| name)?[: ](NRL|(.{1,32} (AND|OR)){1,4} NRL)"""
NTP_0," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<NTP-0\>|(.{1,32} (AND|OR)){1,4} \<NTP-0\>)"""
NTP," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<NTP\>|(.{1,32} (AND|OR)){1,4} \<NTP\>)"""
Nunit," ""licen[cs]e(id|[- ]identifier| name)?[: ](Nunit|(.{1,32} (AND|OR)){1,4} Nunit)"""
O_UDA_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](O-UDA[- ]1\.?0|(.{1,32} (AND|OR)){1,4} O-UDA[- ]1\.?0)"""
OCLC_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](OCLC[- ]2\.?0|(.{1,32} (AND|OR)){1,4} OCLC[- ]2\.?0)"""
ODbL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](ODbL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} ODbL[- ]1\.?0)"""
